Date,Open,High,Low,Close,Adj Close,Volume
2019-11-26,61.180000,61.509998,60.400002,61.220001,56.589142,222672714
2019-11-27,61.380001,61.840000,60.830002,61.700001,57.032829,182874222
2019-11-28,61.820000,62.689999,61.669998,62.689999,57.947941,136719335
2019-11-29,62.509998,62.509998,60.950001,61.150002,56.524437,174083857
2019-12-02,60.950001,61.290001,59.721001,59.939999,55.405960,262730384
2019-12-03,60.070000,60.490002,58.840000,59.169998,54.694206,236341970
2019-12-04,59.049999,60.709999,59.040001,60.570000,55.988308,148789571
2019-12-05,60.580002,61.279999,60.130001,60.509998,55.932842,106188347
2019-12-06,60.709999,61.540001,60.320000,61.470001,56.820229,124861666
2019-12-09,61.160000,62.750000,61.160000,62.130001,57.430305,192451264
2019-12-10,62.099998,62.200001,60.678001,61.480000,56.829472,227490773
2019-12-11,61.330002,61.470001,60.339001,60.400002,55.831169,253463553
2019-12-12,60.480000,61.299999,60.240002,61.119999,56.496704,194555350
2019-12-13,69.800003,73.660004,60.720001,64.330002,59.463890,704768575
2019-12-16,64.989998,67.849998,64.680000,67.250000,62.163013,377850950
2019-12-17,65.250000,65.250000,62.939999,63.299999,58.511803,738728534
2019-12-18,63.180000,63.580002,62.599998,63.360001,58.567265,219003810
2019-12-19,63.279999,64.300003,63.000000,63.919998,59.084900,381375356
2019-12-20,64.199997,64.330002,62.330002,62.330002,57.615177,362116302
2019-12-23,62.000000,62.480000,61.770000,62.200001,57.495010,284390412
2019-12-24,62.490002,63.750000,62.349998,63.419998,58.622723,64065960
2019-12-27,64.000000,64.510002,62.959999,63.180000,58.400879,77395979
2019-12-30,63.369999,63.610001,63.040001,63.119999,58.345417,62060981
2019-12-31,62.880001,63.151001,62.299999,62.500000,57.772316,51827760
2020-01-02,63.750000,63.840000,63.240002,63.709999,58.890789,157613349
2020-01-03,63.799999,63.799999,62.450001,63.049999,58.280712,198856652
2020-01-06,63.200001,63.324001,62.071999,63.250000,58.465584,136196286
2020-01-07,63.110001,63.689999,62.889999,63.110001,58.336174,107254282
2020-01-08,62.580002,62.869999,62.009998,62.790001,58.040379,157679455
2020-01-09,63.450001,63.500000,61.745998,61.849998,57.171482,173659260
2020-01-10,61.500000,61.759998,60.090000,60.330002,55.766464,224795444
2020-01-13,59.750000,61.750000,58.645000,58.740002,54.296734,250375742
2020-01-14,58.750000,59.006001,58.279999,58.750000,54.305977,235807714
2020-01-15,58.869999,58.910000,57.689999,57.810001,53.437084,237998772
2020-01-16,57.959999,58.181999,57.240002,57.900002,53.520275,152237722
2020-01-17,58.310001,58.730000,57.889999,58.450001,54.028671,185978030
2020-01-20,58.709999,58.709999,57.761002,57.900002,53.520275,72762048
2020-01-21,57.520000,58.639999,57.230000,58.500000,54.074886,266967743
2020-01-22,58.380001,58.560001,57.840000,58.090000,53.695900,163118813
2020-01-23,57.959999,58.849998,57.400002,57.400002,53.058098,167221590
2020-01-24,58.099998,59.259998,57.849998,58.090000,53.695900,146725561
2020-01-27,57.200001,57.790001,56.730000,57.110001,52.790031,156667186
2020-01-28,57.500000,58.240002,56.820999,57.639999,53.279942,114274583
2020-01-29,57.959999,58.445999,57.430000,57.500000,53.150532,105528590
2020-01-30,57.000000,58.264999,57.000000,57.930000,53.548004,134419233
2020-01-31,58.480000,58.480000,56.349998,56.790001,52.494240,179297410
2020-02-03,56.980000,57.200001,56.189999,56.549999,52.272392,153681928
2020-02-04,57.320000,57.590000,56.830002,57.500000,53.150532,113644729
2020-02-05,57.660000,58.327999,57.139999,57.139999,52.817760,194283019
2020-02-06,57.650002,58.270000,56.845001,56.950001,52.642136,142821635
2020-02-07,56.820000,57.080002,56.200001,56.919998,52.614403,124996718
2020-02-10,56.660000,57.160000,56.480000,56.880001,52.577431,203893458
2020-02-11,57.500000,57.500000,56.349998,56.730000,52.438774,164536871
2020-02-12,56.759998,57.639999,56.205002,57.439999,53.095070,125454586
2020-02-13,57.439999,58.150002,56.200001,58.029999,53.640438,171006145
2020-02-14,58.130001,58.200001,56.549999,56.610001,52.327854,141080959
2020-02-17,56.669998,57.209999,56.529999,56.869999,52.568184,82623091
2020-02-18,56.200001,56.990002,55.880001,55.880001,51.653072,166751570
2020-02-19,56.200001,56.400002,55.630001,55.779999,51.560635,115708021
2020-02-20,55.990002,58.130001,55.910000,56.549999,52.272392,250479278
2020-02-21,55.680000,56.060001,55.169998,55.349998,51.163162,325612555
2020-02-24,53.880001,54.380001,52.299999,53.110001,49.092606,290401275
2020-02-25,53.520000,53.848000,51.980000,52.009998,48.075809,328451066
2020-02-26,52.099998,52.320000,51.020000,51.910000,47.983376,323387690
2020-02-27,51.169998,51.290001,49.580002,50.349998,46.541378,318291781
2020-02-28,48.794998,50.500000,47.881001,50.200001,46.402725,616992296
2020-03-02,51.490002,52.069000,48.632999,49.540001,45.792648,354681470
2020-03-03,50.509998,50.799999,48.544998,48.674999,44.993080,276224597
2020-03-04,48.005001,49.146000,47.680000,48.365002,44.706532,271341849
2020-03-05,48.365002,48.556999,46.205002,47.000000,43.444782,255914487
2020-03-06,45.459999,46.660000,44.846001,45.680000,42.224632,345739690
2020-03-09,40.750000,44.014000,39.367001,41.235001,38.115864,496506848
2020-03-10,42.290001,45.000000,41.590000,42.535000,39.317528,494209542
2020-03-11,42.639999,44.210999,41.625000,42.119999,38.933918,372371693
2020-03-12,39.860001,41.165001,36.610001,36.994999,34.196587,543757343
2020-03-13,38.544998,40.133999,37.080002,37.889999,35.023888,408864062
2020-03-16,35.500000,35.962002,32.200001,35.110001,32.454178,536586936
2020-03-17,36.000000,36.554001,31.600000,35.320000,32.648293,441849428
2020-03-18,33.625000,34.435001,32.150002,33.634998,31.090748,358206359
2020-03-19,33.279999,34.217999,30.700001,32.375000,29.926060,698106099
2020-03-20,33.750000,34.544998,31.400000,32.099998,29.671860,675068283
2020-03-23,29.950001,31.990999,29.816999,30.570000,28.257595,380314599
2020-03-24,31.370001,33.645000,30.750000,33.645000,31.099993,386440167
2020-03-25,35.240002,38.492001,33.000000,36.730000,33.951633,431074933
2020-03-26,35.139999,37.939999,34.400002,37.560001,34.718853,337909827
2020-03-27,35.500000,36.977001,33.520000,34.395000,31.793261,391858874
2020-03-30,34.134998,36.977001,32.389999,33.500000,30.965961,266071926
2020-03-31,32.009998,36.977001,31.715000,32.000000,29.579426,434167505
2020-04-01,30.000000,31.000000,28.209999,28.270000,26.131575,633114108
2020-04-02,27.945000,29.799999,27.829000,28.905001,26.718542,480846533
2020-04-03,28.485001,28.858999,27.700001,27.725000,25.627800,319660657
2020-04-06,28.525000,29.940001,28.148001,29.940001,27.675251,334338098
2020-04-07,30.639999,32.325001,30.250000,31.219999,28.858427,470424722
2020-04-08,30.014999,31.860001,29.913000,31.860001,29.450016,257197311
2020-04-09,32.099998,35.355000,32.020000,33.389999,30.864281,371893146
2020-04-14,33.014999,33.400002,31.705000,31.785000,29.380690,286063632
2020-04-15,31.434999,31.690001,29.680000,29.745001,27.495001,333883339
2020-04-16,29.725000,30.900000,29.135000,29.434999,29.434999,246071360
2020-04-17,30.250000,31.299999,29.889999,30.450001,30.450001,313340055
2020-04-20,30.650000,30.941000,29.600000,30.120001,30.120001,184756278
2020-04-21,29.299999,30.171000,29.125000,29.219999,29.219999,307829234
2020-04-22,29.530001,30.180000,29.400000,29.915001,29.915001,158235468
2020-04-23,29.945000,30.424999,29.459999,30.424999,30.424999,180356670
2020-04-24,29.650000,30.350000,25.674999,29.735001,29.735001,204121119
2020-04-27,30.680000,30.900000,30.000000,30.535000,30.535000,173245463
2020-04-28,30.580000,35.759998,30.469999,33.244999,33.244999,464384721
2020-04-29,33.200001,34.759998,32.759998,34.759998,34.759998,419861412
2020-04-30,34.759998,34.929001,31.597000,32.240002,32.240002,612396060
2020-05-01,31.980000,32.084000,30.395000,31.684999,31.684999,348622494
2020-05-04,31.370001,31.445000,30.350000,30.600000,30.600000,315203318
2020-05-05,31.000000,31.709999,30.323000,30.580000,30.580000,342698821
2020-05-06,30.549999,30.754999,30.010000,30.170000,30.170000,244033168
2020-05-07,30.100000,31.285000,30.020000,31.285000,31.285000,178698841
2020-05-11,32.360001,32.395000,30.180000,30.415001,30.415001,245474742
2020-05-12,30.365000,30.750000,29.885000,29.885000,29.885000,229354893
2020-05-13,29.400000,29.764999,28.905001,29.010000,29.010000,317689230
2020-05-14,28.500000,28.780001,27.120001,28.615000,28.615000,351891252
2020-05-15,28.900000,29.334000,28.080000,28.504999,28.504999,202822408
2020-05-18,29.000000,29.684999,28.180000,29.684999,29.684999,252925271
2020-05-19,30.385000,30.566999,29.100000,29.584999,29.584999,244544366
2020-05-20,29.120001,30.059999,28.488001,29.865000,29.865000,294630047
2020-05-21,29.639999,29.666000,28.389999,28.389999,28.389999,407927400
2020-05-22,27.920000,28.860001,27.600000,28.120001,28.120001,277027472
2020-05-26,29.325001,30.250000,29.000000,30.075001,30.075001,417226860
2020-05-27,30.370001,32.044998,30.110001,31.815001,31.815001,591610487
2020-05-28,32.384998,32.830002,30.965000,31.379999,31.379999,299899964
2020-05-29,30.885000,31.065001,29.870001,29.870001,29.870001,492167786
2020-06-01,30.504999,31.190001,30.275000,30.860001,30.860001,197136712
2020-06-02,31.070000,32.470001,30.770000,31.930000,31.930000,532592449
2020-06-03,32.595001,33.974998,32.439999,33.759998,33.759998,396549439
2020-06-04,33.709999,34.099998,32.889999,33.884998,33.884998,337816563
2020-06-05,34.509998,35.959999,34.209999,35.544998,35.544998,457376990
2020-06-08,35.200001,38.119999,35.000000,36.880001,36.880001,513534214
