"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-11",100.5972,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-12",100.7065,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-01",100.6345,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-02",100.1539,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-03",99.11068,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-04",97.99314,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-05",97.62096,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-06",97.78544,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-07",98.00888,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-08",98.23695,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-09",98.46652,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-10",98.61969,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2014-01",100.396,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2014-02",100.7097,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2014-03",101.002,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2014-04",101.236,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2014-05",101.3725,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2014-06",101.4499,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2014-07",101.4479,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2014-08",101.4339,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2014-09",101.2965,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2014-10",101.2297,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2014-11",101.198,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2014-12",101.3173,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2015-01",101.5725,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2015-02",101.8102,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2015-03",101.977,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2015-04",101.971,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2015-05",101.8562,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2015-06",101.981,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2015-07",102.0612,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2015-08",102.042,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2015-09",101.9725,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2015-10",101.9582,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2015-11",102.006,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2015-12",102.1728,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2016-01",102.1823,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2016-02",102.0193,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2016-03",101.8312,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2016-04",101.6423,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2016-05",101.4301,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2016-06",101.0679,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2016-07",100.5811,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2016-08",100.5773,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2016-09",100.8949,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2016-10",101.0329,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2016-11",100.9537,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2016-12",100.8781,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2017-01",100.7819,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2017-02",100.695,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2017-03",100.6639,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2017-04",100.6363,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2017-05",100.5595,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2017-06",100.4085,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2017-07",100.3519,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2017-08",100.2978,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2017-09",100.2869,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2017-10",100.3223,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2017-11",100.3354,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2017-12",100.3527,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2018-01",100.4149,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2018-02",100.5153,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2018-03",100.6043,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2018-04",100.6463,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2018-05",100.7547,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2018-06",100.791,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2018-07",100.8622,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2018-08",100.791,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2018-09",100.6273,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2018-10",100.4503,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2018-11",100.2192,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2018-12",99.94907,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-01",99.69627,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-02",99.58166,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-03",99.57278,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-04",99.71056,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-05",99.91639,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-06",99.98892,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-07",100.0257,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-08",99.85782,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-09",99.81949,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-10",99.90784,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-11",100.1796,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-12",100.4836,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2020-01",100.5921,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2020-02",100.2783,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2020-03",99.34225,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2020-04",97.99152,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2020-05",97.32928,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2020-06",97.45497,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2020-07",97.90238,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2020-08",98.11914,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2020-09",98.00549,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2020-10",97.69756,
