DATE,V2Tone,V2Organizations
20201120114500,"-2.19435736677116,1.25391849529781,3.44827586206897,4.70219435736677,24.294670846395,0,591","Linkedin,3693;Dalriada Trustees,2441;Facebook,3682;Lloyds Banking Group,260"
20201120113000,"-3.27102803738318,0.642523364485981,3.91355140186916,4.55607476635514,16.0630841121495,0.116822429906542,1210","Easyjet,8436;Marks Spencer,5270;Marks Spencer,6213;Pret A Manger,5030;Pret A Manger,6875;Debenhams,5464;Debenhams,8377;Debenhams,9266;Burger King,6752;River Island,5343;Airbus,7162;Lloyds Bank,4884;Pizza Hut,4917;Selfridges,6025;Restaurant Group,7943;Topshop,7065;Smiths Group,7234;Royal Mail,7279;Eurostar,6627;Intercontinental Hotels,5421;High Court,3822;M Co,5615;Ryanair,8977;Waitrose,4790;Aer Lingus,7488;Twitter,1541;Twitter,1757;Twitter,1994;Johnson Matthey,7832;British Airways,9111;Azzurri Group,6258;Alexander Dennis,5200;Greene King,4451;Burberry,6368;Dining Group,6930;Pizza Express,4418;Pizza Express,5760;Shell,4609;Centrica,7868;Union Bectu,2601;Harrods,7096;Victoria Secret,8162;Natwest,5374;Ovo Energy,8671;Bombardier,5234;Bombardier,7793;Disney,2431;Disney,2537"
20201120123000,"1.70648464163823,3.7542662116041,2.04778156996587,5.80204778156997,22.0136518771331,0.170648464163823,538","Netflix,1147;Disney,1156;Lloyds Bank United Kingdom Consumer Digital Index,1626"
20201120121500,"1.70940170940171,3.76068376068376,2.05128205128205,5.81196581196581,22.0512820512821,0.170940170940171,536","Netflix,1132;Disney,1141;Lloyds Bank United Kingdom Consumer Digital Index,1611"
20201120131500,"0.689655172413793,1.37931034482759,0.689655172413793,2.06896551724138,18.6206896551724,0,241","Office Hours Call,1667;Office Hours Call,1757;Leeds Building Society,1357;Natwest,1093;Skipton Building Society,1303;Lloyds Bank,1107;Coventry Building Society,1140;Barclays,1071;Royal Bank,1214"
20201120093000,"-0.411522633744856,4.11522633744856,4.52674897119342,8.64197530864197,22.9080932784636,1.09739368998628,666","Begbies Traynor Group,2219;Morgan Stanley,1235;Morgan Stanley,1460;European Union,1624;Lloyds Banking Group,734"
20201120103000,"1.78173719376392,2.89532293986637,1.11358574610245,4.00890868596882,24.0534521158129,2.67260579064588,420","Lloyds Banking Group Ambassador For The,913;Lloyds Banking Group,313;Lloyds Banking Group,345;Lloyds Banking Group,384;Lloyds Banking Group,416;Lloyds Banking Group,620;Lloyds Banking Group,894;Lloyds Banking Group,2038;Yougov,629"
20201120103000,"1.78173719376392,2.89532293986637,1.11358574610245,4.00890868596882,24.2761692650334,2.67260579064588,420","Lloyds Banking Group Ambassador For The,913;Eastern Daily,2589;Lloyds Banking Group,313;Lloyds Banking Group,345;Lloyds Banking Group,384;Lloyds Banking Group,416;Lloyds Banking Group,620;Lloyds Banking Group,894;Lloyds Banking Group,2038;Yougov,629"
20201120080000,"0.433776749566223,2.74725274725275,2.31347599768652,5.06072874493927,21.7466743782533,1.76402544823597,2990","Glaxosmithkline,20685;British American Tobacco,8723;Schroder Income Growth Fund,60;Schroder Income Growth Fund,6047;Financial Conduct Authority Disclosure Guidance,199;Rio Tinto,8516;Rio Tinto,11766;Johnson Matthey,9696;Johnson Matthey,15996;National Grid,14941;Burberry,9030;Schroders,436;Schroders,5522;Schroders,7964;Schroders,10548;Schroders,20724;Prudential,15709;Lloyds Bank,14648;Risk Committee,3501;Risk Committee,3883;Tesco,8489;Reckitt Benckiser,12941;Schroder Investment Management,717;National Storage Mechanism,605;Unilever,8689;Unilever,15218;Royal Dutch Shell,11599;Royal Dutch Shell,12548;Royal Dutch Shell,14708;Your Company,861;Your Company,1348;Your Company,8346;Sumitomo Mitsui Banking Corporation Europe,3032;Pearson,8733;Pearson,13060;Pearson,13539;Pearson,13672;Royal Bank,12881;Royal Bank,14570"
20201120080000,"1.48698884758364,2.97397769516729,1.48698884758364,4.46096654275093,17.8438661710037,0.743494423791822,476","Canaccord Genuity,2611;Lloyds Banking Group,3253;Company Articles Of Association,1598;Building Society,3289;Nationwide Building Society,3289"
20201120074500,"0.352112676056338,3.16901408450704,2.8169014084507,5.98591549295775,19.7183098591549,0.352112676056338,252","Primark,1678;Lloyds Pharmacy Group,1582;Supervalu,1558;Craft Council,1622;Irish Thoroughbred Breeders Association,745;Novartis,1593"
20201119130000,"1.73370319001387,4.36893203883495,2.63522884882108,7.00416088765603,19.3481276005548,0.554785020804438,1353","Building The Bank Lloyds,8601;Library St Marc,3429;Playboy,7393;United States,441;United States,7199;United States,8265"
